  j        y/delta             y+          u_rms          v_rms          w_rms    omega_x_rms    omega_y_rms    omega_z_rms          p_rms
 78   0.191946E+00   0.123333E+03   0.173852E+01   0.103203E+01   0.125707E+01   0.797752E-01   0.730775E-01   0.727214E-01   0.219750E+01
 79   0.196792E+00   0.126447E+03   0.173044E+01   0.103004E+01   0.125205E+01   0.786131E-01   0.720371E-01   0.716817E-01   0.218140E+01
 80   0.201693E+00   0.129596E+03   0.172246E+01   0.102797E+01   0.124704E+01   0.774850E-01   0.710234E-01   0.706610E-01   0.216543E+01
 81   0.206647E+00   0.132779E+03   0.171457E+01   0.102582E+01   0.124203E+01   0.763876E-01   0.700353E-01   0.696632E-01   0.214961E+01
 82   0.211654E+00   0.135996E+03   0.170677E+01   0.102360E+01   0.123703E+01   0.753242E-01   0.690719E-01   0.686874E-01   0.213391E+01
 83   0.216713E+00   0.139247E+03   0.169904E+01   0.102131E+01   0.123205E+01   0.742868E-01   0.681320E-01   0.677319E-01   0.211834E+01
 84   0.221825E+00   0.142532E+03   0.169137E+01   0.101896E+01   0.122711E+01   0.732676E-01   0.672145E-01   0.667988E-01   0.210290E+01
 85   0.226990E+00   0.145850E+03   0.168375E+01   0.101656E+01   0.122220E+01   0.722738E-01   0.663186E-01   0.658890E-01   0.208759E+01
 86   0.232205E+00   0.149201E+03   0.167615E+01   0.101412E+01   0.121732E+01   0.713044E-01   0.654439E-01   0.650041E-01   0.207242E+01
 87   0.237473E+00   0.152586E+03   0.166857E+01   0.101164E+01   0.121247E+01   0.703608E-01   0.645898E-01   0.641447E-01   0.205742E+01
 88   0.242791E+00   0.156003E+03   0.166100E+01   0.100912E+01   0.120764E+01   0.694484E-01   0.637561E-01   0.633080E-01   0.204256E+01
 89   0.248160E+00   0.159453E+03   0.165343E+01   0.100658E+01   0.120285E+01   0.685601E-01   0.629426E-01   0.624925E-01   0.202786E+01
 90   0.253580E+00   0.162935E+03   0.164589E+01   0.100400E+01   0.119809E+01   0.676919E-01   0.621487E-01   0.616968E-01   0.201331E+01
 91   0.259049E+00   0.166449E+03   0.163836E+01   0.100138E+01   0.119338E+01   0.668494E-01   0.613735E-01   0.609208E-01   0.199891E+01
 92   0.264568E+00   0.169995E+03   0.163085E+01   0.998717E+00   0.118871E+01   0.660249E-01   0.606146E-01   0.601676E-01   0.198465E+01
 93   0.270136E+00   0.173573E+03   0.162335E+01   0.996006E+00   0.118405E+01   0.652165E-01   0.598709E-01   0.594344E-01   0.197051E+01
 94   0.275753E+00   0.177182E+03   0.161587E+01   0.993241E+00   0.117940E+01   0.644309E-01   0.591422E-01   0.587162E-01   0.195646E+01
 95   0.281418E+00   0.180823E+03   0.160843E+01   0.990414E+00   0.117475E+01   0.636603E-01   0.584279E-01   0.580098E-01   0.194249E+01
